"","data2","n","×éºÅ"
"1","(499,2.7e+03]",23509,1
"2","(2.7e+03,4.4e+03]",41101,2
"3","(4.4e+03,6.1e+03]",81807,3
"4","(6.1e+03,7.8e+03]",49890,4
"5","(7.8e+03,9.5e+03]",65139,5
"6","(9.5e+03,1.12e+04]",104703,6
"7","(1.12e+04,1.29e+04]",73655,7
"8","(1.29e+04,1.46e+04]",44921,8
"9","(1.46e+04,1.63e+04]",86505,9
"10","(1.63e+04,1.8e+04]",45921,10
"11","(1.8e+04,1.97e+04]",19775,11
"12","(1.97e+04,2.14e+04]",70977,12
"13","(2.14e+04,2.31e+04]",19158,13
"14","(2.31e+04,2.48e+04]",31529,14
"15","(2.48e+04,2.65e+04]",33235,15
"16","(2.65e+04,2.99e+04]",27854,16
"17","(2.99e+04,3.33e+04]",27965,17
"18","(3.33e+04,3.5e+04]",39590,18
