"","V1","V2","V3","V4"
"1",13950,16000,8000,17000
"2",32225,5000,9000,14400
"3",24575,8000,10000,10000
"4",21000,3950,18000,25000
"5",2800,3000,8000,10000
"6",28000,20000,2800,10625
"7",17325,12000,16150,18000
"8",10400,10625,25000,15600
"9",11200,5000,15800,11400
"10",4200,30000,6000,32400
"11",35000,30000,4000,8000
"12",20000,14000,4200,23000
"13",20000,23000,7200,12000
"14",10575,27000,16000,10000
"15",11100,1200,11875,9600
"16",17500,10000,22400,12000
"17",15000,22000,12000,8000
"18",9000,20000,10400,25000
"19",15000,12600,11000,35000
"20",20000,5000,30000,12725
"21",18400,24000,21000,10000
"22",3000,22000,8125,9000
"23",6000,28000,21000,6000
"24",9500,20000,10000,5375
"25",5000,26000,21450,16000
"26",10000,20675,10500,10000
"27",20000,10000,8000,4800
"28",27500,12000,12000,15000
"29",10000,15000,28000,4125
"30",10950,4000,10000,8000
"31",22250,26000,14000,20400
"32",14000,7200,16000,13000
"33",19300,31275,20000,20000
"34",18000,30800,16425,27850
"35",23500,21000,20000,24000
"36",20250,15000,33775,17000
"37",12000,1000,15400,20000
"38",12000,2800,10000,12000
"39",35000,15000,4000,5125
"40",8000,16025,9600,16000
"41",22400,18000,23000,14350
"42",25000,8000,3800,22050
"43",7500,35000,35000,8000
"44",3000,28000,8000,21000
"45",1000,14000,9000,6000
"46",7500,14400,4200,3500
"47",35000,1000,6500,6550
"48",35000,14000,4475,33225
"49",5000,5125,6000,18000
"50",35000,8475,21000,12000
"51",13500,1600,15000,20000
"52",1600,10000,7200,25000
"53",15000,23000,6000,12000
"54",8400,6500,9225,7000
"55",21000,15000,2000,35000
"56",14400,15000,7000,16000
"57",25000,16000,6000,10200
"58",20000,7850,10000,18950
"59",15825,9625,3000,5000
"60",17625,5000,10000,11325
"61",20000,5500,14125,18000
"62",10900,12000,3000,8000
"63",18000,10000,10000,10000
"64",9350,8500,8000,11750
"65",10000,10900,16000,10000
"66",12000,5000,10000,8000
