,iteration​,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,target_function
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453
1,1.0,-0.002026891717020371,-0.0020370770882478014,-0.0019183173481308595,-0.0019582096516710433,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.002026891717020371,-0.0019784275316045382,-0.0020168592083143065,-0.0019483661668720361,-0.0020070282695066246,-0.0019878741535792437,-0.0019968428982791936,-0.0020370770882478014,-0.0019389195448973305,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020168592083143065,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020168592083143065,-0.0019389195448973305,-0.0019968428982791936,-0.0020370770882478014,-0.0019878741535792437,-0.0019088707261561543,-0.0020168592083143065,-0.0019776887823518127,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019675202827994175,-0.0019582096516710433,-0.0019878741535792437,-0.0020370770882478014,-0.0020370770882478014,-0.002026891717020371,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019784275316045382,-0.002026891717020371,-0.0019675202827994175,-0.0019676562736457488,-0.0020370770882478014,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019292245969359802,-0.0019371170316384917,-0.0018292645403266714,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020168592083143065,-0.0019784275316045382,-0.0019381807956446058,-0.0020370770882478014,-0.0020070282695066246,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,0.6865804279027209
2,2.0,-0.002026891717020371,-0.0020370770882478014,-0.0019183173481308595,-0.0019582096516710433,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.002026891717020371,-0.0019784275316045382,-0.0020168592083143065,-0.0019483661668720361,-0.0020070282695066246,-0.0019878741535792437,-0.0019968428982791936,-0.0020370770882478014,-0.0019389195448973305,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020168592083143065,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020168592083143065,-0.0019389195448973305,-0.0019968428982791936,-0.0020370770882478014,-0.0019878741535792437,-0.0019088707261561543,-0.0020168592083143065,-0.0019776887823518127,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019675202827994175,-0.0019582096516710433,-0.0019878741535792437,-0.0020370770882478014,-0.0020370770882478014,-0.002026891717020371,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019784275316045382,-0.002026891717020371,-0.0019675202827994175,-0.0019676562736457488,-0.0020370770882478014,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0019292245969359802,-0.0019371170316384917,-0.0018292645403266714,-0.0020370770882478014,-0.0018292645403266714,-0.0020370770882478014,-0.0020168592083143065,-0.0019784275316045382,-0.0019381807956446058,-0.0020370770882478014,-0.0020070282695066246,-0.0018292645403266714,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,-0.0020370770882478014,0.6865804279027209
3,3.0,-0.002877192954814681,-0.0028676066243371163,-0.00276861858592517,-0.0028085108894653535,-0.0028788766574862055,-0.0026597940764159864,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.002877192954814681,-0.0028287287693988484,-0.0028586587775527098,-0.0027986674046663463,-0.002837557805595939,-0.002818403689668558,-0.002847144136073504,-0.0028873783260421116,-0.002789220782691641,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028671604461086167,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028788766574862055,-0.0028873783260421116,-0.0028873783260421116,-0.0028671604461086167,-0.002789220782691641,-0.002847144136073504,-0.0028873783260421116,-0.002809902021112651,-0.0027394002622454687,-0.0028671604461086167,-0.0028194883515902168,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028178215205937277,-0.0028085108894653535,-0.002838175391373554,-0.0028873783260421116,-0.0028873783260421116,-0.002877192954814681,-0.0028873783260421116,-0.0028676066243371163,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028287287693988484,-0.002877192954814681,-0.002798049818888732,-0.002809455842884153,-0.0028873783260421116,-0.0028873783260421116,-0.002671064109565075,-0.0028676066243371163,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0027795258347302907,-0.0027591448991719,-0.0026512924078600794,-0.0028873783260421116,-0.0026597940764159864,-0.0028788766574862055,-0.0028671604461086167,-0.0028287287693988484,-0.0027799803648830093,-0.0028873783260421116,-0.002837557805595939,-0.002671064109565075,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028676066243371163,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,-0.0028873783260421116,0.6837817127263989
4,4.0,-0.005118376615298155,-0.005061163504739619,-0.004933808649673848,-0.005039893469122497,-0.004988053920629318,-0.004655004348880884,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005109107519561701,-0.005128561986525585,-0.005128561986525585,-0.005024380956132384,-0.00502228564980135,-0.005080387971072299,-0.005001840326975228,-0.0050124012554821715,-0.0050595873501520314,-0.0050883277965569785,-0.005128561986525585,-0.004774777669018984,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.00510834410659209,-0.005128561986525585,-0.005128561986525585,-0.005118760905699254,-0.005128561986525585,-0.005128561986525585,-0.005120060317969679,-0.005128561986525585,-0.005128561986525585,-0.00510834410659209,-0.004774777669018984,-0.0050883277965569785,-0.005128561986525585,-0.005041284600769794,-0.0048007062317503395,-0.00510834410659209,-0.0050606720120736914,-0.005072022856754675,-0.005099550952292637,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.0050024660513062905,-0.005049694549948828,-0.005079359051857028,-0.005053776280766433,-0.005128561986525585,-0.005118376615298155,-0.005090551248350993,-0.00503215247050667,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005109107519561701,-0.005128561986525585,-0.00502228564980135,-0.005118376615298155,-0.004906982568474577,-0.005050639503367626,-0.005128561986525585,-0.005043011822521726,-0.00472345772938001,-0.005061163504739619,-0.005099550952292637,-0.005128561986525585,-0.005128561986525585,-0.004973082715132792,-0.004782527484753887,-0.0046368492941874255,-0.005118760905699254,-0.004700534506849823,-0.005055075693036857,-0.00510834410659209,-0.005002831182837467,-0.004927168366200715,-0.005090551248350993,-0.0050124012554821715,-0.0047509858249179734,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005108790284820591,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005072022856754675,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005080935206444613,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,-0.005128561986525585,0.6768591051592702
5,5.0,-0.0067493607079389785,-0.006673286369919538,-0.006564792742314671,-0.006596514510024957,-0.006573354129733676,-0.006147080278785975,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006740091612202524,-0.006759546079166409,-0.006759546079166409,-0.006609681165236743,-0.006606448341163274,-0.006674471555980557,-0.006632824419616051,-0.006633882977935194,-0.0066626112689748595,-0.006719311889197802,-0.006759546079166409,-0.006350000026466339,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006739328199232913,-0.006750043708978607,-0.006713862195629944,-0.0067497449983400775,-0.006759546079166409,-0.006759546079166409,-0.0067510444106105025,-0.006759546079166409,-0.006759546079166409,-0.006684141945508646,-0.006350000026466339,-0.006719311889197802,-0.006759546079166409,-0.006644308519592622,-0.006311643389116333,-0.006739328199232913,-0.006672794877253611,-0.006703006949395498,-0.00673053504493346,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.00661458891648621,-0.006680678642589651,-0.006682382970679856,-0.006684760373407256,-0.006759546079166409,-0.0067493607079389785,-0.006712032970804016,-0.006663136563147493,-0.006722645571433843,-0.006713862195629944,-0.006759546079166409,-0.006740091612202524,-0.006759546079166409,-0.0066532697424421736,-0.0067493607079389785,-0.006417919725840571,-0.006662762368547546,-0.006759546079166409,-0.006673995915162549,-0.006215533659285101,-0.006692147597380442,-0.00673053504493346,-0.006759546079166409,-0.006759546079166409,-0.006604066807773615,-0.006274603414658979,-0.006128925224092517,-0.0067497449983400775,-0.006192610436754914,-0.00668605978567768,-0.006739328199232913,-0.00663381527547829,-0.0064660656973847055,-0.006702674113530913,-0.0066154251743049996,-0.006279962262555633,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006739774377461414,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006703006949395498,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006711919299085436,-0.006722645571433843,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,-0.006759546079166409,0.6719055671673186
6,6.0,-0.007546530817947905,-0.0074704564799284645,-0.007334329727194933,-0.007393684620033883,-0.007370524239742602,-0.006916617263666238,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.00753726172221145,-0.007556716189175335,-0.007556716189175335,-0.007397570472508969,-0.0074036184511722,-0.007471641665989483,-0.007429994529624977,-0.007412700765552158,-0.007459781378983786,-0.007516481999206728,-0.007556716189175335,-0.0071195370113465994,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.00753649830924184,-0.007547213818987533,-0.00751103230563887,-0.007546915108349004,-0.007556716189175335,-0.007556716189175335,-0.007548214520619429,-0.007556716189175335,-0.007556716189175335,-0.007481312055517573,-0.0071195370113465994,-0.007516481999206728,-0.007556716189175335,-0.0074414786296015485,-0.0070904611767332966,-0.007527217506505139,-0.007469964987262537,-0.007500177059404424,-0.007527705154942386,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007411759026495136,-0.007477848752598578,-0.0074702722779520815,-0.0074819304834161824,-0.007556716189175335,-0.007546530817947905,-0.007490850758420978,-0.007460306673156419,-0.007519815681442769,-0.00751103230563887,-0.007556716189175335,-0.00753726172221145,-0.007556716189175335,-0.0074504398524511,-0.007546530817947905,-0.007196737513457534,-0.007450651675819771,-0.007556716189175335,-0.007471166025171476,-0.006985070644165363,-0.007489317707389368,-0.007527705154942386,-0.007556716189175335,-0.007556716189175335,-0.007401236917782541,-0.007044140399539241,-0.006898462208972779,-0.007546915108349004,-0.0069621474216351766,-0.007483229895686607,-0.00753649830924184,-0.007430985385487216,-0.007244883485001669,-0.007499844223539839,-0.007403314481577225,-0.007049499247435895,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.00753694448747034,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007500177059404424,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007509089409094363,-0.007519815681442769,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,-0.007556716189175335,0.6694704957317709
7,7.0,-0.008071863295270128,-0.007995788957250689,-0.007859662204517157,-0.007919017097356106,-0.007886687887247506,-0.007432780911171142,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008062594199533674,-0.008082048666497558,-0.008082048666497558,-0.007922902949831192,-0.007928950928494424,-0.007996974143311707,-0.00794615817712988,-0.007938033242874381,-0.007985113856306009,-0.008041814476528951,-0.008082048666497558,-0.007644869488668823,-0.008082048666497558,-0.008082048666497558,-0.008072879836680239,-0.008061830786564063,-0.008072546296309756,-0.008036364782961094,-0.008072247585671228,-0.008082048666497558,-0.008082048666497558,-0.008073546997941652,-0.008082048666497558,-0.008082048666497558,-0.008006644532839797,-0.007644869488668823,-0.008041814476528951,-0.008072879836680239,-0.007966811106923773,-0.00761579365405552,-0.008043381154010043,-0.007995297464584761,-0.008025509536726648,-0.00805303763226461,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.00793709150381736,-0.007994012400103482,-0.007995604755274305,-0.008007262960738407,-0.008082048666497558,-0.008071863295270128,-0.008016183235743202,-0.007985639150478643,-0.008045148158764993,-0.008036364782961094,-0.008082048666497558,-0.008062594199533674,-0.008082048666497558,-0.007975772329773324,-0.008071863295270128,-0.0077220699907797575,-0.007966815323324675,-0.008082048666497558,-0.007996498502493699,-0.007501234291670267,-0.008014650184711591,-0.00805303763226461,-0.008082048666497558,-0.008082048666497558,-0.007926569395104765,-0.007560304047044145,-0.007414625856477683,-0.008072247585671228,-0.0074783110691400805,-0.00800856237300883,-0.008061830786564063,-0.00795631786280944,-0.007761047132506573,-0.008025176700862063,-0.007928646958899449,-0.007565662894940799,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008062276964792564,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008025509536726648,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008034421886416586,-0.008045148158764993,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,-0.008082048666497558,0.6678658428560152
8,8.0,-0.008332495564253476,-0.008256421226234037,-0.008120294473500505,-0.008179649366339454,-0.008147320156230854,-0.007693413180154489,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008323226468517022,-0.008342680935480906,-0.008342680935480906,-0.00818353521881454,-0.008189583197477772,-0.008257606412295055,-0.008206790446113228,-0.008198665511857729,-0.008245746125289357,-0.0083024467455123,-0.008342680935480906,-0.00790550175765217,-0.008342680935480906,-0.008342680935480906,-0.008333512105663587,-0.00832246305554741,-0.008333178565293104,-0.008296997051944442,-0.008332879854654576,-0.008342680935480906,-0.008342680935480906,-0.008334179266925,-0.008342680935480906,-0.008342680935480906,-0.008267276801823145,-0.00790550175765217,-0.0083024467455123,-0.008333512105663587,-0.00822744337590712,-0.007876425923038867,-0.008304013422993391,-0.00825592973356811,-0.008286141805709996,-0.008313669901247957,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008197723772800708,-0.00825464466908683,-0.008256237024257653,-0.008267895229721755,-0.008342680935480906,-0.008332495564253476,-0.00827681550472655,-0.00824627141946199,-0.00830578042774834,-0.008296997051944442,-0.008342680935480906,-0.008323226468517022,-0.008342680935480906,-0.008236404598756672,-0.008332495564253476,-0.007982702259763105,-0.008227447592308023,-0.008342680935480906,-0.008257130771477047,-0.007761866560653614,-0.00827528245369494,-0.008313669901247957,-0.008342680935480906,-0.008342680935480906,-0.008187201664088112,-0.007820936316027493,-0.00767525812546103,-0.008332879854654576,-0.0077389433381234276,-0.008269194641992179,-0.00832246305554741,-0.008216950131792787,-0.00802167940148992,-0.008285808969845411,-0.008189279227882797,-0.007826295163924147,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008322909233775912,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008286141805709996,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008295054155399934,-0.00830578042774834,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,-0.008342680935480906,0.667067587205517
9,9.0,-0.008592110718567546,-0.008516036380548106,-0.008379909627814574,-0.008439264520653524,-0.008406935310544924,-0.00795302833446856,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008582841622831091,-0.008602296089794976,-0.008602296089794976,-0.00844315037312861,-0.008449198351791842,-0.008517221566609124,-0.008466405600427298,-0.008458280666171799,-0.008505361279603427,-0.008562061899826369,-0.008602296089794976,-0.00816511691196624,-0.008602296089794976,-0.008602296089794976,-0.008593127259977656,-0.00858207820986148,-0.008592793719607174,-0.008556612206258512,-0.008592495008968646,-0.008602296089794976,-0.008602296089794976,-0.00859379442123907,-0.008602296089794976,-0.008602296089794976,-0.008526891956137215,-0.00816511691196624,-0.008562061899826369,-0.008593127259977656,-0.00848705853022119,-0.008136041077352937,-0.00856362857730746,-0.008515544887882179,-0.008545756960024065,-0.008573285055562027,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008457338927114777,-0.0085142598234009,-0.008515852178571722,-0.008527510384035824,-0.008602296089794976,-0.008592110718567546,-0.00853643065904062,-0.00850588657377606,-0.00856539558206241,-0.008556612206258512,-0.008602296089794976,-0.008582841622831091,-0.008602296089794976,-0.008496019753070742,-0.008592110718567546,-0.008242317414077174,-0.008487062746622092,-0.008602296089794976,-0.008516745925791117,-0.008021481714967684,-0.008534897608009009,-0.008573285055562027,-0.008602296089794976,-0.008602296089794976,-0.008446816818402182,-0.008080551470341563,-0.007934873279775101,-0.008592495008968646,-0.007998558492437498,-0.008528809796306248,-0.00858207820986148,-0.008476565286106857,-0.00828129455580399,-0.00854542412415948,-0.008448894382196866,-0.008085910318238217,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008582524388089981,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008545756960024065,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008554669309714004,-0.00856539558206241,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,-0.008602296089794976,0.6662756920135334
