date,title,intro,author,url
1654092279,angela merkel und ihr scherbenhaufen kolumne von sascha lobo,"Wir werden Angela Merkel noch vermissen, hieß es. Von wegen. Nach ihrem Abtritt lässt sich sagen: Die Altkanzlerin hat uns mehrere Scherbenhaufen hinterlassen. Hier ist eine Liste der fünf größten.",['Sascha Lobo'],https://www.spiegel.de/netzwelt/netzpolitik/angela-merkel-und-ihr-scherbenhaufen-kolumne-von-sascha-lobo-a-0381217c-f464-4903-a5e5-e42b92bb9174
1654082940,olaf scholz gegen friedrich merz im bundestag kanzler der offensive,"Scharfe Attacke des Oppositionsführers, scharfe Antwort des Kanzlers: Olaf Scholz verteidigt im Bundestag seinen Kurs, verspricht neue Waffen für die Ukraine – angriffslustig, pointiert. Ist das mehr als eine Momentaufnahme?","['Sebastian Fischer', 'Kevin Hagen']",https://www.spiegel.de/politik/deutschland/olaf-scholz-gegen-friedrich-merz-im-bundestag-kanzler-der-offensive-a-6d8c356c-d985-46a7-b086-0293f5b7fc02
1654055087,news neun euro ticket der bahn olaf scholz innenminister konferenz katastrophenschutz,Heute beginnt das Experiment mit dem -Euro-Ticket. Die Innenminister wollen mehr Katastrophenschutz. Und Olaf Scholz könnte eine bedeutende Rede halten. Das ist die Lage am Mittwoch.,['Martin Knobbe'],https://www.spiegel.de/politik/deutschland/news-neun-euro-ticket-der-bahn-olaf-scholz-innenminister-konferenz-katastrophenschutz-a-fb28cf4c-ba18-4a47-9eb2-18458bfb71a3
1654010392,russland sanktionen der eu gipfel der zerrissenheit,"Während Russlands Militär in der Ukraine Gelände gewinnt, zeigt die EU politische Schwäche. Der Union fehlt politische Führung.",['Ralf Neukirch'],https://www.spiegel.de/politik/russland-sanktionen-der-eu-gipfel-der-zerrissenheit-a-ff8b8d90-530b-4310-bf57-4677ba0a8e7d
1653987800,after xinjiang revelations germany s ties to china are under the microscope,"Germany is even more dependent on Beijing than it is on Moscow. Following the revelations of the Xinjiang Police Files, politicians and executives are facing a difficult question: What crimes are they willing to tolerate in exchange for prosperity?","['Markus Becker', 'Georg Fahrion', 'Matthias Gebauer', 'Christoph Giesen', 'Martin Knobbe', 'Frederik Obermaier', 'Bastian Obermayer', 'Michael Sauga', 'Christoph Schult', 'Gerald Traufetter', 'Wolf Wiedmann-Schmidt', 'Bernhard Zand']",https://www.spiegel.de/international/world/after-xinjiang-revelations-germany-s-ties-to-china-are-under-the-microscope-a-1ac0950f-4d8a-4ead-a95f-0eac1731956a
1653836664,europas zukunft wir sind nicht fuers  jahrhundert geruestet kolumne,"Der Krieg in der Ukraine erfordert von der EU eine sicherheitspolitische Runderneuerung: gemeinsame Streitkräfte, gemeinsame Außenpolitik, innere Stärkung. Fatalerweise verpasst Europa gerade den historischen Moment.",['Henrik Müller'],https://www.spiegel.de/wirtschaft/europas-zukunft-wir-sind-nicht-fuers-21-jahrhundert-geruestet-kolumne-a-c684d600-b18a-4ba4-9687-677e4af5c7da
1653810960,europas zukunft wir sind nicht fuers  jahrhundert geruestet,"Der Ukraine-Krieg erfordert von der EU eine sicherheitspolitische Runderneuerung: gemeinsame Streitkräfte, gemeinsame Außenpolitik, gestärkte innere Strukturen. Fatalerweise verpasst Europa gerade einen historischen Moment.",['Henrik Müller'],https://www.manager-magazin.de/politik/europa/europas-zukunft-wir-sind-nicht-fuers-21-jahrhundert-geruestet-a-01befe85-0fa7-402b-92b3-9bd6a79e54cb
1653712601,news china uiguren xinjiang police files david chipperfield netflix stranger things,Die Folterbelege aus Xinjiang müssen Konsequenzen fürs Regime haben. Die Weltböden müssen geschützt werden. Und Netflix hat mehr als ein Problem. Das ist die Lage am Samstag.,['Markus Feldenkirchen'],https://www.spiegel.de/politik/deutschland/news-china-uiguren-xinjiang-police-files-david-chipperfield-netflix-stranger-things-a-abed8af5-c2bf-40a2-9c0d-a0e3be7f43d2
1653667980,the oppression of uyghurs in china vw under fire for ongoing operations in xinjiang,"Volkswagen continues to operate a factory in the heart of Xinjiang, despite massive criticism from human rights activists. The factory is largely meaningless from a business perspective. Is the company trying to prove its loyalty to the Chinese government?","['Christoph Giesen', 'Simon Hage', 'Frederik Obermaier']",https://www.spiegel.de/international/world/the-oppression-of-uyghurs-in-china-vw-under-fire-for-ongoing-operations-in-xinjiang-a-0001da57-a9a9-4384-8bbe-e3628e0e973d
1653649200,xinjiang police files deutschland furchtbarer partner,Die Bundesrepublik ist von Peking noch viel abhängiger als von Moskau. Nach den Folter-Enthüllungen der Xinjiang Police Files muss sich die Politik fragen: Welche Verbrechen nehmen wir für unseren Wohlstand in Kauf? Die SPIEGEL-Titelstory.,"['Markus Becker', 'Georg Fahrion', 'Matthias Gebauer', 'Christoph Giesen', 'Martin Knobbe', 'Frederik Obermaier', 'Bastian Obermayer', 'Michael Sauga', 'Christoph Schult', 'Gerald Traufetter', 'Wolf Wiedmann-Schmidt', 'Bernhard Zand']",https://www.spiegel.de/ausland/xinjiang-police-files-deutschland-furchtbarer-partner-a-70e96cd6-f7ed-47aa-9b71-31fca6abfda8
1653649200,manfred weber ueber die zukunft der eu und den krieg der westen muss waffen waffen waffen liefern,"Die Veränderungswucht des Krieges lässt den künftigen Chef der europäischen Christdemokraten groß denken: Die EU muss aufgerüstet und umgebaut werden, die Ukraine und Moldau aufnehmen – und Putin in die Knie zwingen.","['Markus Becker', 'Jan Puhl']",https://www.spiegel.de/ausland/manfred-weber-ueber-die-zukunft-der-eu-und-den-krieg-der-westen-muss-waffen-waffen-waffen-liefern-a-71dae61b-afd3-421b-9a7b-a9eebecea866
1653559200,katherina reiche von eon und westenergie wie sie den wasserstoff nach deutschland bringen will,Als CDU-Politikerin wurde sie oft angefeindet. Heute führt sie die wichtigste Eon-Tochter und ist Deutschlands Frau für den Wasserstoff. Geht da noch mehr?,['Dietmar Student'],https://www.manager-magazin.de/unternehmen/energie/katherina-reiche-von-eon-und-westenergie-wie-sie-den-wasserstoff-nach-deutschland-bringen-will-a-8da2c97c-0002-0001-0000-000204564791
1653494851,afd dokumentation volksvertreter ich will das noch mal sehen bis ich ausflippe,"Der Dokumentarfilmer Andreas Wilcke hat vier Bundestagsabgeordnete der AfD in ihrem Alltag begleitet. Das Ergebnis ist ein leiser Film, der das weltvergessene Biedermeier der Rechtspopulisten ans Licht bringt.",['Andreas Wassermann'],https://www.spiegel.de/kultur/afd-dokumentation-volksvertreter-ich-will-das-noch-mal-sehen-bis-ich-ausflippe-a-c0b8b53b-0a20-49a8-b685-4cde6a5ea2e3
